GUID,Did you know - Hindi
bc457696-6f2a-451a-b65f-5991c4170dab,गर्भावस्था के दौरान शराब पीने से बच्चे को दीर्घकालिक नुकसान हो सकता है।
2cd249b6-477c-473c-8d1a-fe748f6ba315,गर्भावस्था के दौरान विटामिन ए की खुराक नहीं ली जानी चाहिए।
2ecda2ee-cd69-4d29-a629-5d7662d03ed3,"गर्भवती महिलाओं को लंबी अवधि के लिए पीठ पर लेटने से बचना चाहिए, क्योंकि बच्चे का वजन एक प्रमुख रक्त वाहिका पर दबा सकता है, और महिला को बेहोश महसूस कर सकता है।"
965e345a-01ef-4468-9504-f1b7761c92ec,"माँ का दूध छह महीने तक के बच्चे के लिए सभी पोषक तत्व और पर्याप्त पानी प्रदान करता है, इसलिए विशेष रूप से स्तनपान करने वाले शिशुओं को और कुछ नहीं चाहिए।"
6d790f6c-37f0-4168-b345-167cd1c9b35a,मां को दस्त या किसी अन्य बीमारियों के दौरान भी स्तनपान जारी रखना चाहिए ताकि बच्चे को इष्टतम पोषण प्राप्त करने और बीमारी से तेजी से उबरने में मदद मिल सके।
f90b2c8f-fcfe-4a95-af68-780693231b45,माँ को जितनी बार बच्चा चाहे उतनी बार स्तनपान कराना चाहिए।बार-बार बच्चे को दूध पिलाने से माताओं को अधिक ब्रेस्टमिलक का उत्पादन करने में मदद मिलती है।
eee34817-cc19-42cd-9b93-87ff02f11ab2,धूम्रपान कर रहे लोगों के पास रहना हानिकारक होता है क्योंकि सेकंडहैंड धुएं में सांस लेना आपके फेफड़ों को प्रभावित करेगा।
99db523c-b927-469b-8ee9-bd9d767122eb,"छोटे बच्चों को कभी भी पानी में या उसके आसपास  न छोड़ें क्योंकि वे बहुत कम मात्रा में पानी में डूब सकते हैं, यहां तक ​​कि एक टब/बाल्टी में भी।"
5d63caa3-1932-4794-80c9-6aa9da9be106,पीने का पानी और खाने की चीजों को गंदगी से बचाने के लिए साफ बर्तनों में उठे हुए स्थान पर ढककर रखें।
329cef8f-06f0-4db0-8857-60b8901be1c9,"यदि कोई बुजुर्ग व्यक्ति अपनी उम्र नहीं जानता है, तो आप उनके सबसे बड़े बच्चे या पोते की उम्र के बारे में पूछ सकते हैं, या प्रमुख ऐतिहासिक घटनाओं जो उन्हें याद हैं।"
8c0e96e8-a59e-4974-bc4f-2ba5624f9396,"कई महिलाएँ आईएफए टैबलेट नियमित रूप से नहीं लेतीं क्योंकि उन्हें उल्टी, कब्ज और काले मल की समस्या होती है। लेकिन इन दुष्प्रभावों की चिंता न करें। ये सामान्य हैं।"
c9c0862c-fb02-444a-918f-3948206f810d,संभोग स्तन के दूध की आपूर्ति को प्रभावित नहीं करता है।
d396162b-92f5-44a6-a828-d5e9763f0c5b,"नवजात शिशुओं को गर्म रखना महत्वपूर्ण है।उन्हें जन्म के बाद और जीवन के पहले कुछ दिनों में अपने तापमान को बनाए रखने में कठिनाई होती है, क्योंकि वे गीली होकर बाहर निकलते हैं और जल्दी से गर्मी खो देते हैं।"
f6da13f3-5567-451d-8a21-711a793d33ed,"4-6 महीने की उम्र में बच्चे शीशे में अपने आप को देखना पसंद करते हैं। अगर 9 महीने की उम्र तक बच्चा ऐसा नहीं करता है, तो डॉक्टर को दिखाएं।"
81fd1ac3-7651-45ee-83cc-d53a7e2e5597,"बच्चों को छह महीने में अर्ध-ठोस, नरम खाद्य पदार्थ शुरू कराना चाहिए,क्योंकि सिर्फ माँ का दूध  6 से 24 महीने तक तेजी से विकास और विकास के दौरान उनकी पोषण संबंधी जरूरतों को पूरा नहीं करेगा।"
fd967dac-ddea-4864-a9c7-6ffccb151e75,"छोटे बच्चे के लिए बनाया गया खाना न तो बहुत पतला होना चाहिए और न ही बहुत गाढ़ा। आप यह देख सकते हैं कि अगर चम्मच को झुकाने पर खाना चम्मच पर टिकता है, तो वह सही है।"
e769a289-fea5-4ad7-bf61-ef5b3c24108c,"1000 की आबादी में, आपके पास आम तौर पर प्रति वर्ष 30 नवजात शिशु होंगे।इसका मतलब है कि आपके कवरेज क्षेत्र में हर महीने 2-3 नवजात शिशु जुड़ेंगे।"
64e69f8f-f8be-448b-90a9-3b1d3d06b535,पांच साल से कम उम्र के 10 बच्चों में से लगभग 4 बच्चे कम वजन वाले हैं (उनकी उम्र के लिए कम वजन है)।
b390cf68-f255-435e-a0f5-96fca9789bee,6-59 महीने की उम्र के आधे से अधिक बच्चे एनीमिक (हीमोग्लोबिन स्तर 11.0g/dl से कम) हैं।
fa37347e-080d-4814-92d5-2bbeca57af22,नवजात शिशु की सांस लेने की दर 30-60 सांस प्रति मिनट होती है।
