Did you know,Did you know - Hindi,GUID
Drinking alcohol during pregnancy can lead to long-term harm to the baby.,गर्भावस्था के दौरान शराब पीने से बच्चे को दीर्घकालिक नुकसान हो सकता है।,8e1c55a7-85d6-44ec-8efd-973fc3296b1f
Vitamin A supplements should not be taken during pregnancy.,गर्भावस्था के दौरान विटामिन ए की खुराक नहीं ली जानी चाहिए।,2c44ae3b-eb5c-4204-a25d-b20f16d0b3cd
"Pregnant women should avoid lying flat on the back for long durations, as the weight of the baby can press on a major blood vessel, and make the woman feel faint.","गर्भवती महिलाओं को लंबी अवधि के लिए पीठ पर लेटने से बचना चाहिए, क्योंकि बच्चे का वजन एक प्रमुख रक्त वाहिका पर दबा सकता है, और महिला को बेहोश महसूस कर सकता है।",e675283c-f624-41a8-8929-a8dcd2a6156d
"Breast milk provides all nutrients and enough water for a child up to six months, so exclusively breastfed infants need nothing else.","माँ का दूध छह महीने तक के बच्चे के लिए सभी पोषक तत्व और पर्याप्त पानी प्रदान करता है, इसलिए विशेष रूप से स्तनपान करने वाले शिशुओं को और कुछ नहीं चाहिए।",7b0785b4-a6b2-4dc3-9786-d53b438cdff8
Mother should continue breastfeeding even during diarrhoea or any other illnesses to help the child to get optimal nutrition and recover from the illness faster.,मां को दस्त या किसी अन्य बीमारियों के दौरान भी स्तनपान जारी रखना चाहिए ताकि बच्चे को इष्टतम पोषण प्राप्त करने और बीमारी से तेजी से उबरने में मदद मिल सके।,5c5fcfd3-672b-4771-b926-5dd4f3de46c6
Mother should breastfeed as often as the child wants. Frequent feeding helps mothers to produce more breastmilk.,माँ को जितनी बार बच्चा चाहे उतनी बार स्तनपान कराना चाहिए।बार-बार बच्चे को दूध पिलाने से माताओं को अधिक ब्रेस्टमिलक का उत्पादन करने में मदद मिलती है।,a8355660-dc6f-403b-881b-774c9b8949be
"It is harmful to be around people who are smoking, as breathing in secondhand smoke will affect your lungs.",धूम्रपान कर रहे लोगों के पास रहना हानिकारक होता है क्योंकि सेकंडहैंड धुएं में सांस लेना आपके फेफड़ों को प्रभावित करेगा।,f96d2420-de92-439e-8183-537413c1f699
"Never leave young children alone in or near water as they can drown in a very small amount of water, even in a tub/bucket.","छोटे बच्चों को कभी भी पानी में या उसके आसपास  न छोड़ें क्योंकि वे बहुत कम मात्रा में पानी में डूब सकते हैं, यहां तक ​​कि एक टब/बाल्टी में भी।",35753c91-207f-46b2-8fde-68976efa25e2
"To avoid contamination, drinking water and food items should be stored in clean utensils on raised platform, in a covered container.",पीने का पानी और खाने की चीजों को गंदगी से बचाने के लिए साफ बर्तनों में उठे हुए स्थान पर ढककर रखें।,23007c53-19ad-4623-beba-49196094fe8d
"If an elderly person does not know their age, you can ask about the age of their eldest child or grandchild, or key historical events they remember.","यदि कोई बुजुर्ग व्यक्ति अपनी उम्र नहीं जानता है, तो आप उनके सबसे बड़े बच्चे या पोते की उम्र के बारे में पूछ सकते हैं, या प्रमुख ऐतिहासिक घटनाओं जो उन्हें याद हैं।",1db4f816-1bb4-4bc2-8dc6-cbf2fe9c56a4
"Many women do not take IFA tablets regularly due to nausea, constipation and black stools. Don't worry about these side effects. They are normal.","कई महिलाएँ आईएफए टैबलेट नियमित रूप से नहीं लेतीं क्योंकि उन्हें उल्टी, कब्ज और काले मल की समस्या होती है। लेकिन इन दुष्प्रभावों की चिंता न करें। ये सामान्य हैं।",014ec17b-2e05-4d6e-931a-c7cb6c22238b
Sexual intercourse does not affect breast milk supply.,संभोग स्तन के दूध की आपूर्ति को प्रभावित नहीं करता है।,7d0359ae-92f4-46f8-80dc-52c9cf3fc0c3
"It is important to keep newborns warm. They have difficulty maintaining their temperature after birth and in the first few days of life, as they come out wet and lose heat quickly.","नवजात शिशुओं को गर्म रखना महत्वपूर्ण है।उन्हें जन्म के बाद और जीवन के पहले कुछ दिनों में अपने तापमान को बनाए रखने में कठिनाई होती है, क्योंकि वे गीली होकर बाहर निकलते हैं और जल्दी से गर्मी खो देते हैं।",63d5f459-b284-4d5f-b90d-a22ad97cbf7a
"By 4-6 months, children enjoy looking at themselves in the mirror. If a child does not do this by 9 months, refer to the MOIC.","4-6 महीने की उम्र में बच्चे शीशे में अपने आप को देखना पसंद करते हैं। अगर 9 महीने की उम्र तक बच्चा ऐसा नहीं करता है, तो डॉक्टर को दिखाएं।",28df6dcf-03b4-4e16-adbd-61eacfc9d633
"Children should begin semi-solid, soft foods at six months, as breast milk alone won't meet their nutritional needs during the rapid growth and development from 6 to 24 months.","बच्चों को छह महीने में अर्ध-ठोस, नरम खाद्य पदार्थ शुरू कराना चाहिए,क्योंकि सिर्फ माँ का दूध  6 से 24 महीने तक तेजी से विकास और विकास के दौरान उनकी पोषण संबंधी जरूरतों को पूरा नहीं करेगा।",20cf5ee2-b17a-4f7a-9755-2a3863555695
Feed prepared for a young child should not be too thin or too thick. You can test it by seeing if the food stays on a spoon when you tilt the spoon.,"छोटे बच्चे के लिए बनाया गया खाना न तो बहुत पतला होना चाहिए और न ही बहुत गाढ़ा। आप यह देख सकते हैं कि अगर चम्मच को झुकाने पर खाना चम्मच पर टिकता है, तो वह सही है।",66a48f2c-d76b-438d-a43c-6962a54c5134
"In a population of 1000, you will generally have 30 newborns per year. This means 2-3 newborns will be added every month in your coverage area.","1000 की आबादी में, आपके पास आम तौर पर प्रति वर्ष 30 नवजात शिशु होंगे।इसका मतलब है कि आपके कवरेज क्षेत्र में हर महीने 2-3 नवजात शिशु जुड़ेंगे।",c4b22ac2-d814-489e-b8f5-c35e1be676e6
About 4 children out of 10 children under five years of age are underweight (have low weight for their age).,पांच साल से कम उम्र के 10 बच्चों में से लगभग 4 बच्चे कम वजन वाले हैं (उनकी उम्र के लिए कम वजन है)।,01ecad62-4548-4d86-b54f-0ffdffab85f9
More than half the children between 6-59 months of age are anaemic (haemoglobin level less than 11.0g/dl).,6-59 महीने की उम्र के आधे से अधिक बच्चे एनीमिक (हीमोग्लोबिन स्तर 11.0g/dl से कम) हैं।,769a6804-f53c-4cd1-bf76-08974d2f10d8
The breathing rate of a newborn baby is 30-60 breaths per minute.,नवजात शिशु की सांस लेने की दर 30-60 सांस प्रति मिनट होती है।,9dbd3596-b5f7-46a3-ac7f-b99a68968c56
